Author,Webpage,Mail,Calendar,Browser,Password Manager,Messaging,Notes,Cloud File Storage,To-Do,Code Editor,Terminal,Blogging,Launcher
Martin Gunnarsson,https://www.martingunnarsson.com/posts/apps-2023/,Mail,Calendar,Safari,,,Notes,iCloud Drive,Reminders,,,,
Brandon,https://wand3r.net/2024/01/app-defaults-jan-2024,Mailmate,Noteplan,Safari,Bitwarden,iMessage,Obsidian,iCloud,Noteplan,Vi,Terminal,weblog.lol,N/A
Dave,https://ddanielson.micro.blog/2023/12/27/default-app-list.html,Apple Mail,Calendar.app,Safari,1Password,Messages.app,Apple Notes,iCloud Drive,Paper & Notebook,,,,
Jeff Sheets,https://sheetsj.com/blog/app-defaults/,Spark,Google Calendar,Safari,(blank),Slack,Notes.app,iCloud,Reminders.app,IntelliJ IDEA,(blank),(blank),(blank)
M Ehler,https://mrehler.com/2024/01/02/my-default-apps-of-2023/,Airmail,Fantastical,Safari,1Password,iMessage,Obsidian,iCloud,OmniFocus,,,,Alfred
Brian Sholis,https://www.sholis.com/blog/2024-app-defaults,Google Workspace,Cron,Safari,1Password,Apple Messages,Obsidian,Sync.com,Apple Reminders,Nova,Not yet,Not yet,Alfred 5
Ben Yafai,https://ben.yaf.ai/app-defaults,Outlook,Outlook,Arc (macOS),1Password,iMessage,Notes.app,iCloud,Notes.app,VSCode,Warp (macOS),,Alfred
Stefan Zweifel,https://stefanzweifel.dev/posts/2024/01/02/app-defaults,Fastmail.app,Calendar.app,Safari,1Password,WhatsApp,Obsidian,iCloud Drive,Things 3,iA Writer,,Darkroom,None mentioned
Moeyua,https://blog.moeyua.com/posts/my-defaults-2023/,Apple Mail,Apple Calendar,Arc,1Password,Telegram,Apple Notes,iCloud,Apple Reminders,Visual Studio Code,Hyper,Astro,Raycast
Nicolas Cropp,https://cropp.blog/defaults,,Vivaldi Calendar,Vivaldi,1Password,Discord,Obsidian,Nextcloud,Reminders.app,,,,
Adam Newbold,https://notes.neatnik.net/2024/01/app-defaults,Fastmail,Calendar.app,Safari,1Password,Discord,Obsidian,iCloud & Synology,Obsidian,Nova,Terminal.app,(No application mentioned),(No application mentioned)
Toni Lampela,https://kutomo.com/app-defaults-for-2024/,Apple Mail.app,Apple Calendar.app,Apple Safari,Strongbox,iMessage,Bear,iCloud Drive,Things,BBEdit,Kitty,Self-hosted Ghost,Raycast
voitech,https://voitech.vercel.app/digital-garden/app-defaults/,Gmail,Google Calendar,Arc Browser,Bitwarden,Messenger,Evernote,Google Drive,Apple Reminders,,,Blogspot,Spotlight
eiffair,https://www.eiffair.fr/apps-default-2023/,,Fantastical,Arc browser (MacOS),,,Obsidian,iCloud,Omnifocus,,,,
n3wjack,https://n3wjack.net/2023/12/31/my-default-apps-for-2023/,Gmail,Google Calendar,Firefox (developer edition),KeepassXC & Keepass2Android,Telegram,text files,Google Drive,I keep them in my calendar or inbox,Visual Studio,Windows Terminal,WordPress,Nova Launcher
Chris Finazzo,https://chrisfinazzo.com/2023/12/31/app-defaults/,Mail,iCal,Safari,iCloud Keychain,Messages,Notes,iCloud Drive,Reminders,BBEdit,,,
Kevin C. Tofel,https://myconscious.stream/blog/Default-apps-2023/,Proton Mail,Proton Calendar,Sidekick (desktop),1Password,Messages,,Homelab server running Unraid,,Neovim,Kitty,Wordpress (work),
Matthew Lamont,https://techtea.io/articles/2023/app-defaults/,Thunderbird,Nextcloud Calendar,Firefox / Vivaldi,Bitwarden,Signal / Discord Website,Leuchtturm1917 A5 Hardcover Dotgrid Notebook / Logseq,Nextcloud running on TrueNAS Core,Nextcloud Tasks,VSCodium / Kate,N/A,N/A,N/A
